age,sex,pb_surface,pb_elev,pb100k_time,pb100k_dec,avg_km,teique_sf,steu_b,stem_b
36.00,2.00,4,0.00,17:00:00,17.00,27.00,5.80,15.00,9.58
52.00,2.00,1,2800.00,13:00:00,13.00,100.00,6.07,13.00,10.67
46.00,2.00,3,0.00,06:30:00,6.50,70.00,4.23,10.00,7.92
29.00,2.00,4,2400.00,19:00:00,19.00,5.00,5.13,8.00,9.83
43.00,1.00,1,,19:42:00,19.70,55.00,5.67,12.00,
34.00,1.00,1,4000.00,14:15:00,14.25,85.00,,17.00,12.67
35.00,2.00,1,3658.00,09:52:00,9.86,120.00,5.60,14.00,11.08
38.00,2.00,1,2230.00,23:00:00,23.00,30.00,5.07,11.00,10.33
38.00,2.00,1,5181.00,15:20:00,15.33,35.00,,13.00,9.92
30.00,1.00,1,3353.00,14:39:00,14.65,40.00,6.50,14.00,11.42
39.00,1.00,1,5181.00,15:36:00,15.60,40.00,5.57,10.00,12.83
40.00,2.00,1,8000.00,22:00:00,22.00,70.00,4.90,18.00,12.50
29.00,1.00,4,0.00,14:00:00,14.00,35.00,5.40,14.00,11.17
33.00,1.00,1,3500.00,14:00:00,14.00,60.00,5.10,12.00,13.42
30.00,2.00,1,4500.00,16:52:00,16.86,80.00,5.63,12.00,11.42
40.00,2.00,1,3290.00,14:31:00,14.51,60.00,3.13,10.00,10.33
48.00,2.00,1,,13:31:00,13.51,110.00,5.87,10.00,9.67
42.00,2.00,1,4400.00,13:45:00,13.75,100.00,4.57,17.00,12.42
41.00,2.00,1,1400.00,18:32:00,18.51,80.00,4.83,12.00,8.00
36.00,2.00,1,2700.00,19:45:12,19.75,45.00,5.43,15.00,11.75
25.00,2.00,1,4800.00,20:49:18,20.80,50.00,4.50,15.00,11.42
38.00,2.00,1,2200.00,15:59:46,15.99,50.00,5.93,12.00,12.75
37.00,2.00,1,4500.00,16:21:00,16.34,75.00,5.33,11.00,12.08
72.00,1.00,1,,25:00:00,25.00,37.00,,12.00,15.08
35.00,2.00,4,1372.00,13:00:00,13.00,90.00,4.57,12.00,9.08
27.00,2.00,4,3353.00,16:53:00,16.88,75.00,5.73,15.00,13.08
37.00,2.00,1,3597.00,12:55:16,12.95,60.00,4.30,13.00,10.75
35.00,1.00,1,5182.00,11:30:00,11.50,100.00,4.63,18.00,14.25
41.00,1.00,3,,12:45:42,12.75,60.00,5.50,16.00,14.08
